ID,ALIMENTO,Energia KJ,Energia Kcal,Umidade g,Carboidrato total,Carboidrato disponível,Proteína,Lipídios,Fibra alimentar,Álcool,Cinzas,Colesterol,Ácidos graxos saturados,Ácidos graxos monoinsaturados,Ácidos graxos polinsaturados,Ácidos graxos trans,Cálcio,Ferro,Sódio,Magnésio,Fósforo,Potássio,Zinco,Cobre,Selênio,Vitamina A (RE),Vitamina A (RAE),Vitamina D,Alfa-tocoferol (Vitamina E),Tiamina,Riboflavina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Equivalente de folato,Sal de adição,Açúcar de adição
C0209A,"Arroz, polido, cozido, c/ óleo, cebola e alho, c/ sal,",583,138,"66,1","29,1","2,4","1,59","1,27",0,0,"5,83","0,33",189,"23,6","22,3","31,7","0,51","0,15","1,64",0,0,0,"0,18","0,01",0,"0,45","0,47",0,,,,,,,,,,
C0108T,"feijão, preto, cozido (50% grão e 50% caldo), c/ óleo e cebola e alho, c/ sal,Phaseolus vulgaris L.,",302,73,"78,6",14,"4,38","1,71","8,07",0,0,"28,4","1,41",189,"38,9","86,8",257,"1,76","0,54","2,59",0,0,0,"0,16","0,04",0,"0,45","0,47",0,,,,,,,,,,
C0002C,"Abacaxi, polpa,in natura,Ananas comosus L.,",211,50,87,"11,6","0,68","0,33","1,12",0,0,"18,4","0,47","2,84","16,6","10,5",137,"0,15","0,12","0,41",2,1,0,"0,05",tr,0,"33,1",0,0,,,,,,,,,,
C0007C,"Banana, nanica,in natura, Musa spp.,",386,91,"75,9","21,8","1,32","0,21","1,7",0,0,"3,15","0,32",tr,"25,6","24,6",346,"0,16","0,09","0,13","13,7","6,83",0,"0,06","0,13",0,"5,39",0,0,,,,,,,,,,
C0020C,"Laranja, Pera,in natura, Citrus sinensis,",157,37,"89,9","8,63","0,87","0,21","1,36",0,0,"21,3","0,09",tr,"8,36",22,158,"0,06","0,03","0,3","1,83","0,92",0,"0,31","0,02",0,"52,2",0,0,,,,,,,,,,
C0045C,"mamão, Formosa, polpa,in natura,Carica papaya L.,",198,47,"86,9","11,6","0,82","0,12","1,81",0,0,"24,9","0,23","3,26","17,3","10,9",221,"0,07","1,36","0,3","85,9",43,0,"0,14",tr,0,"78,5",0,0,,,,,,,,,,
C0027C,"Melancia, polpa,in natura, Citrullus spp.,",124,29,"92,5","6,52","0,7","0,05","0,13",0,0,"8,06","0,18",tr,"8,06","9,79","83,6","0,08",tr,"0,6",61,"30,5",0,0,tr,0,"4,94",0,0,,,,,,,,,,
C0035C,"Uva, Rubi,in natura,Vitis vinifera L. Rubi,",213,50,"86,8","12,1","11,2","0,54","0,17","0,89",0,"0,38",0,"0,06","0,01","0,05",0,"7,22","0,16","7,51","5,53","21,6",150,tr,"0,05","0,1","5,33","2,67",0,"0,21","0,02","0,02",tr,tr,0,"1,77","1,36",0,0
C0029C,"Morango,in natura,Fragaria vesca L.,",125,30,"91,8","6,54","4,87","0,82","0,4","1,67",0,"0,45",0,"0,02","0,06","0,3",0,"15,4","0,28",11,11,"28,8",102,"0,09","0,05","0,36","8,93","4,46",0,"0,39",tr,"0,03",tr,"0,03",0,"69,8","21,8",0,0
C0048C,"Manga, Tommy Atkins, polpa,in natura,Mangifera indica L.,",221,52,"85,8","12,8","10,7","0,86","0,22","2,07",0,"0,34",0,"0,1","0,1",tr,tr,"7,64","0,08",tr,"7,4","13,8",138,"0,08","0,06","0,9",180,"90,4",0,"0,52",tr,"0,04",tr,"0,03",0,"7,94","36,9",0,0
C0003C,"Açaí­, polpa (média de amostras),Euterpe oleracea Mart.,",278,68,"86,1","7,66","1,77","0,9","5,01","5,89",0,"0,31",0,"1,01","3,43","0,32",NA,"20,8","0,59","1,69","20,9","20,2",110,"0,23","0,2","0,7","28,6","14,3",NA,"14,8",tr,"0,04",tr,"0,08",0,42,NA,0,0
C0066C,"Mexerica,'Rio', in natura, Citrus reticulata,",150,36,"89,6","9,34","6,61","0,65","0,13","2,73",0,"0,32",0,"0,02","0,02","0,03",0,"17,2","0,09","1,82","8,21","13,7",124,"0,15","0,07","0,07","28,2","14,1",0,"0,08","0,03",tr,tr,tr,0,111,"11,3",0,0
C0064C,"Maçã, Fuji, c/ casca,in natura, Malus domestica,",250,59,"84,3","15,2","13,8","0,29",tr,"1,35",0,"0,22",0,tr,tr,tr,0,"1,92","0,09",tr,"2,04","9,08","74,7",tr,"0,06",0,7,"3,5",0,"0,18",tr,tr,tr,"0,03",0,"2,41","3,25",0,0
C0354F,"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, c/ sal,",867,208,"61,1","0,68","0,56","25,5","11,5","0,12",0,"1,28",98,"4,73","4,63","0,94","0,23","4,69","2,54",229,17,159,256,"7,71","0,07","0,03",0,0,"2,64","0,2",0,"0,3","1,68","0,01","2,47","0,41","5,52","0,45",0
C0608F,"Carne, boi, alcatra, frita (c/ óleo de soja), c/ sal, Bos taurus,",1186,285,48,0,0,"29,2","18,6",0,0,"1,56","84,4","5,88","6,34","5,05","0,24","4,24","2,91",227,"23,8",255,352,"4,42","0,12","5,17",tr,tr,"0,14","1,31","0,03","0,05","4,27","0,05","2,87",0,"13,1","0,45",0
C0322F,"Carne, boi, capa de contra-filé, c/ gordura, grelhada, c/ manteiga, c/ sal,",1445,348,"44,6",0,0,"27,7","26,2",0,0,"1,47",128,"12,8","9,92","0,41","0,54","6,98","2,33",252,"16,7",192,291,"5,58","0,12","0,1","99,4","98,1","0,11","0,24",0,"0,06","1,57",0,"3,47",0,"6,87","0,45",0
C0660F,"Carne, boi, charque (carne seca, carne de sol, jaba), dessalgada, frita (c/ óleo de soja), s/ sal, Bos taurus,",1270,305,"42,1",0,0,"33,5",19,0,0,"3,34",104,"5,63","6,83","5,17","0,41","13,7","3,18",1327,"11,8","92,8","82,4","5,6","0,09","6,96",tr,tr,"0,13","1,09","0,05","0,06","1,38",tr,"0,39",0,"56,7",0,0
C0661F,"Carne, boi, charque (carne seca, carne de sol, jaba), dessalgada, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus,",1065,254,"46,3","0,75","0,61","34,7","12,5","0,14",0,"3,49",107,"4,75","5,41","1,1","0,39","14,9","3,3",1370,13,"99,5",100,"5,8","0,07","7,22",tr,tr,"0,14","0,38","0,05","0,07","1,43","0,01","0,4","0,45","59,2",0,0
C0334F,"Carne, boi, contra-filé de costela, grelhada, c/ óleo e cebola, c/ sal,",1252,300,"48,4","0,73","0,63","29,2","20,1","0,11",0,"1,55",114,"8,52","8,51","0,91","0,29","7,73","2,47",256,"18,1",204,316,"5,9","0,13",0,0,0,"0,12","0,13",0,"0,06","1,66","0,01","3,64","0,21","7,67","0,45",0
C0296F,"Carne, boi, contra-filé, grelhado/frito, c/ óleo e cebola, c/ sal,",1316,316,"48,2","0,51","0,4","26,9",23,"0,11",0,"1,38","86,3","5,39","5,37","0,82","0,22","8,08","2,58",247,"17,9",203,314,"5,03","0,08",0,0,0,0,"0,13",0,"0,07","2,06","0,14","1,28","0,21","0,73","0,45",0
C0302F,"Carne, boi, contra-filé, grelhado/frito, c/ manteiga, c/ sal,",1505,363,"44,2",0,0,"25,4",29,0,0,"1,31",102,"9,87","6,95","0,32","0,48","7,31","2,43",244,"16,5",191,289,"4,76","0,08","0,1","99,4","98,1",0,"0,24",0,"0,07","1,95","0,13","1,23",0,"0,3","0,45",0
C0870F,"Carne, boi, coração, cozido, c/ óleo, c/ sal,",917,219,"58,5",0,0,"28,1","11,9",0,0,"1,53",161,"2,41","2,75","6,14",0,"6,41","7,39",259,"20,7",0,"0,04","3,33","0,03",0,NA,NA,NA,"0,16","0,14","1,62","6,3","0,02","2,33","29,4","7,2","0,45",0
C0869F,"Carne, boi, costela, cozida, c/ óleo, c/ sal,",1428,344,"45,1",0,0,"27,7","25,9",0,0,"1,33","83,7","8,47","9,42","6,19",0,10,"3,03",231,"19,8",211,281,"7,02","0,13","19,9",NA,NA,0,"0,28","0,06","0,18","2,89","0,25","3,11",0,"6,3","0,45",0
C0369F,"Carne, boi, coxão mole (polpa, chã de dentro), s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal,",886,211,"57,4","0,68","0,56","30,7","9,57","0,12",0,"1,65","79,9","4,25","3,49","0,85","0,2","4,41","2,45",221,"13,6",176,240,"4,48","0,12","0,03","2,34","2,34",0,"0,49",0,0,"3,89","0,01","4,89","0,41",10,"0,45",0
C0924F,"Carne, boi, coxão mole (polpa, chã de dentro), s/ gordura, frita (c/ óleo de soja), c/ cebola, c/ sal,",1012,242,56,"0,88","0,68",27,"14,6","0,2",0,"1,52","69,7","4,66","4,49","4,49","0,2","4,54","2,14",215,"12,3",155,215,"3,91","0,12","3,48","2,04","2,04",0,"1,07",0,0,"3,39","0,01","1,47","0,4","5,46","0,45",0
C0597F,"Carne, boi, filé mignon, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus,",1105,265,"52,2",0,0,30,"16,1",0,0,"1,66","94,2","5,33","4,69","4,96","0,19","4,06","2,63",232,"25,9",282,298,"3,79","0,15","7,29",tr,tr,"0,12","1,21","0,03","0,07","3,91","0,04","1,24",0,"15,7","0,45",0
C0374F,"Carne, boi, filé mignon, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal,",889,212,57,"0,52","0,42","31,3","9,44","0,11",0,"1,74","97,7","4,44","3,19","0,82","0,16","4,93","2,74",234,"27,5",294,319,"3,94","0,14",0,0,0,"0,11","0,13","0,03","0,08","4,05","0,05","4,75","0,21","8,86","0,45",0
C0380F,"Carne, boi, filé mignon, s/ gordura, grelhada, c/ manteiga, c/ sal,",1101,264,"52,6",0,0,"29,6","16,2",0,0,"1,65",113,"8,97","4,88","0,32","0,41","4,33","2,58",232,"25,6",277,293,"3,72","0,13","0,1","99,4","98,1","0,11","0,24","0,03","0,07","3,84","0,04","4,51",0,8,"0,45",0
C0595F,"Carne, boi, filé mignon, s/ gordura, grelhada/assada, s/ óleo, c/ sal, Bos taurus,",880,210,"56,7",0,0,"32,7","8,79",0,0,"1,77",102,"4,48","3,09","0,2","0,16","4,4","2,86",237,"28,1",306,324,"4,12","0,14","7,92",tr,tr,"0,13","0,37","0,03","0,08","4,25","0,05","1,35",0,17,"0,45",0
C0804F,"Carne, boi, fraldinha, c/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus,",1205,290,"55,3",0,0,"19,9","23,4",0,0,"1,42",52,"8,2","8,08","5,07","0,45","3,62","1,75",223,"17,3",133,232,"4,74","0,08","4,72","4,46","4,46","0,13","1,18","0,06","0,07","3,42","0,02","1,24",0,"13,2","0,45",0
C0431F,"Carne, boi, paleta, s/ gordura, cozida, refogada (c/ óleo, cebola e alho), c/ sal,",786,187,"61,9","0,68","0,56","28,2","8,03","0,12",0,"1,29","52,8","3,4","3,11","0,85","0,16","6,23","2,08",234,"17,5",190,251,"6,49","0,1","0,03",0,0,0,"0,3","0,04","0,04","2,06","0,01","4,91","0,41","8,93","0,45",0
